,datadate,tic,prccd,ajexdi,prcod,prchd,prcld,cshtrd,
0,20040827,XLB,26.76,1,26.68,26.83,26.64,123000,
1,20040830,XLB,26.53,1,26.79,26.91,26.53,391100,
2,20040831,XLB,26.61,1,26.53,26.7,26.43,277800,
3,20040901,XLB,26.72,1,26.55,26.85,26.55,361300,
4,20040902,XLB,27.09,1,26.71,27.13,26.71,408400,
5,20040903,XLB,27.03,1,27,27.1,27,1422000,
6,20040907,XLB,27.27,1,27.06,27.31,27.06,826000,
7,20040908,XLB,26.96,1,27.2,27.2,26.91,449000,
8,20040909,XLB,27.05,1,27.02,27.11,26.96,417900,
9,20040910,XLB,26.79,1,27,27,26.63,525600,
10,20040913,XLB,26.76,1,26.82,26.92,26.71,211100,
11,20040914,XLB,26.73,1,26.7,26.75,26.48,1766600,
12,20040915,XLB,26.62,1,26.65,26.74,26.52,330700,
13,20040916,XLB,26.73,1,26.62,26.81,26.62,395700,
14,20040917,XLB,26.49,1,26.6,26.75,26.46,1545700,
15,20040920,XLB,26.52,1,26.4,26.72,26.4,1206700,
16,20040921,XLB,26.64,1,26.73,26.73,26.5,843900,
17,20040922,XLB,26.41,1,26.65,26.65,26.41,484700,
18,20040923,XLB,26.18,1,26.45,26.45,26.17,3864300,
19,20040924,XLB,26.41,1,26.15,26.51,26.15,1642000,
20,20040927,XLB,26.38,1,26.39,26.53,26.26,185800,
21,20040928,XLB,27.03,1,26.6,27.05,26.53,1726000,
22,20040929,XLB,27.16,1,27.1,27.18,26.97,830300,
23,20040930,XLB,27.55,1,27.23,27.58,27.15,1091800,
24,20041001,XLB,27.7,1,27.49,27.73,27.49,1237000,
25,20041004,XLB,27.76,1,27.76,27.9,27.65,1044100,
26,20041005,XLB,27.72,1,27.68,27.75,27.56,1309900,
27,20041006,XLB,28.17,1,27.7,28.17,27.7,1066100,
28,20041007,XLB,27.81,1,28.15,28.18,27.8,1866300,
29,20041008,XLB,27.65,1,27.8,27.95,27.55,677300,
30,20041011,XLB,27.65,1,27.7,27.81,27.59,773300,
31,20041012,XLB,27.35,1,27.43,27.5,27.19,398100,
32,20041013,XLB,26.73,1,27.23,27.35,26.49,2632100,
33,20041014,XLB,26.68,1,26.69,26.85,26.65,502800,
34,20041015,XLB,26.93,1,26.85,27.08,26.78,219000,
35,20041018,XLB,26.86,1,26.8,27.01,26.72,498300,
36,20041019,XLB,26.22,1,26.94,26.96,26.22,1767200,
37,20041020,XLB,26.4,1,26.25,26.49,26.22,1079000,
38,20041021,XLB,26.59,1,26.32,26.69,26.26,1200700,
39,20041022,XLB,26.42,1,26.6,26.9,26.41,1308500,
40,20041025,XLB,26.68,1,26.4,26.75,26.4,1226800,
41,20041026,XLB,26.94,1,26.72,26.95,26.56,855400,
42,20041027,XLB,27.25,1,27.02,27.26,26.79,4149400,
43,20041028,XLB,26.9,1,26.9,27.04,26.6,2916300,
44,20041029,XLB,27.29,1,27,27.3,27,685900,
45,20041101,XLB,27.32,1,27.4,27.4,27.16,360800,
46,20041102,XLB,27.19,1,27.47,27.53,27.18,1255200,
47,20041103,XLB,27.59,1,27.27,27.71,27.27,970800,
48,20041104,XLB,28.25,1,27.75,28.25,27.59,1071800,
49,20041105,XLB,28.37,1,28.38,28.53,28.21,2369400,
50,20041108,XLB,28.38,1,28.35,28.43,28.34,548200,
51,20041109,XLB,28.67,1,28.36,28.72,28.36,531200,
52,20041110,XLB,28.66,1,28.7,28.75,28.57,416200,
53,20041111,XLB,28.88,1,28.72,28.91,28.63,1069200,
54,20041112,XLB,29.18,1,29,29.19,28.88,761700,
55,20041115,XLB,29,1,29.25,29.25,28.93,490500,
56,20041116,XLB,28.83,1,28.88,29.03,28.83,293400,
57,20041117,XLB,29.05,1,29.19,29.44,28.98,1120800,
58,20041118,XLB,29.14,1,29.05,29.31,29.05,552700,
59,20041119,XLB,28.94,1,29,29.19,28.84,283800,
60,20041122,XLB,29.28,1,28.89,29.28,28.86,664300,
61,20041123,XLB,29.14,1,29.36,29.36,29.02,316000,
62,20041124,XLB,29.42,1,29.15,29.42,29.15,690300,
63,20041126,XLB,29.71,1,29.39,29.8,29.39,547500,
64,20041129,XLB,29.63,1,29.78,29.78,29.4,825400,
65,20041130,XLB,29.51,1,29.83,29.83,29.48,406400,
66,20041201,XLB,29.78,1,29.56,29.87,29.5,486300,
67,20041202,XLB,29.41,1,29.8,29.8,29.26,2147400,
68,20041203,XLB,29.39,1,29.18,29.42,29.15,1118400,
69,20041206,XLB,29.31,1,29.4,29.4,29.13,392800,
70,20041207,XLB,28.69,1,29.35,29.35,28.68,2673600,
71,20041208,XLB,28.81,1,28.58,28.82,28.306,1232800,
72,20041209,XLB,29,1,28.55,29.06,28.44,2020600,
73,20041210,XLB,28.99,1,28.92,29.16,28.92,1081100,
74,20041213,XLB,29.41,1,29.19,29.44,29.05,1257200,
75,20041214,XLB,29.38,1,29.1,29.45,29.1,707300,
76,20041215,XLB,29.69,1,29.45,29.7,29.4,860900,
77,20041216,XLB,29.46,1,29.67,29.67,29.33,1213200,
78,20041217,XLB,29.25,1,29.1,29.37,29.1,620900,
79,20041220,XLB,29.37,1,29.36,29.55,29.25,338000,
80,20041221,XLB,29.74,1,29.5,29.77,29.4,303000,
81,20041222,XLB,29.75,1,29.76,29.94,29.61,1682600,
82,20041223,XLB,29.82,1,29.8,29.87,29.71,272700,
83,20041227,XLB,29.75,1,29.9,29.98,29.72,122500,
84,20041228,XLB,29.92,1,29.75,29.92,29.75,116100,
85,20041229,XLB,29.93,1,29.99,29.99,29.81,389700,
86,20041230,XLB,29.79,1,29.96,29.96,29.77,533600,
87,20041231,XLB,29.73,1,29.85,29.89,29.72,676900,
88,20050103,XLB,29.43,1,29.79,29.9,29.25,908300,
89,20050104,XLB,28.9,1,29.4,29.4,28.64,1688200,
90,20050105,XLB,28.5,1,28.63,29.06,28.45,1742500,
91,20050106,XLB,28.69,1,28.53,28.76,28.48,333000,
92,20050107,XLB,28.74,1,28.85,28.92,28.6,1195700,
93,20050110,XLB,28.87,1,28.85,29,28.72,792400,
94,20050111,XLB,28.57,1,28.83,28.83,28.503,1603000,
95,20050112,XLB,28.76,1,28.62,28.77,28.32,1005100,
96,20050113,XLB,28.65,1,28.8,28.84,28.55,566100,
97,20050114,XLB,28.92,1,28.6,28.96,28.6,532400,
98,20050118,XLB,29.03,1,28.83,29.05,28.62,357800,
99,20050119,XLB,28.83,1,29.02,29.08,28.8,481600,
100,20050120,XLB,28.67,1,28.85,28.85,28.62,664900,
101,20050121,XLB,28.55,1,28.64,28.75,28.51,981800,
102,20050124,XLB,28.15,1,28.5,28.7,28.15,893400,
103,20050125,XLB,28.3,1,28.3,28.61,28.24,1882100,
104,20050126,XLB,28.35,1,28.4,28.49,28.23,608200,
105,20050127,XLB,28.5,1,28.58,28.58,28.31,536200,
106,20050128,XLB,28.47,1,28.46,28.6,28.34,185400,
107,20050131,XLB,28.82,1,28.57,28.89,28.57,519000,
108,20050201,XLB,29.06,1,28.75,29.1,28.75,1084300,
109,20050202,XLB,29.36,1,29.09,29.38,29.09,584600,
110,20050203,XLB,29.19,1,29.2,29.3,29.06,1183000,
111,20050204,XLB,29.52,1,29.14,29.54,29.11,786800,
112,20050207,XLB,29.51,1,29.58,29.72,29.49,955900,
113,20050208,XLB,29.51,1,29.41,29.51,29.38,325100,
114,20050209,XLB,29.1,1,29.48,29.51,29.06,823000,
115,20050210,XLB,29.49,1,29.11,29.54,29.11,2506800,
116,20050211,XLB,29.78,1,29.58,29.88,29.42,1183300,
117,20050214,XLB,29.81,1,29.68,29.89,29.67,661700,
118,20050215,XLB,29.97,1,29.85,30.12,29.79,2535200,
119,20050216,XLB,30.35,1,29.94,30.41,29.86,1137000,
120,20050217,XLB,30.24,1,30.45,30.47,30.24,718800,
121,20050218,XLB,30.58,1,30.35,30.64,30.31,927900,
122,20050222,XLB,30.12,1,30.6,30.69,30.12,2129700,
123,20050223,XLB,30.58,1,30.28,30.58,30.2,647600,
124,20050224,XLB,30.91,1,30.4,30.93,30.4,1179400,
125,20050225,XLB,31.39,1,30.95,31.4,30.86,984100,
126,20050228,XLB,31.09,1,31.38,31.38,30.89,2165300,
127,20050301,XLB,31.13,1,31.3,31.38,31.033,1709000,
128,20050302,XLB,31.04,1,31.05,31.16,30.79,812200,
129,20050303,XLB,31.01,1,31.02,31.22,30.87,469700,
130,20050304,XLB,31.98,1,31.25,31.99,31.19,1280200,
131,20050307,XLB,31.63,1,32,32,31.63,1176000,
132,20050308,XLB,31.55,1,31.63,31.71,31.5,873100,
133,20050309,XLB,31.62,1,31.7,31.92,31.58,2328000,
134,20050310,XLB,31.22,1,31.73,31.75,31,3670400,
135,20050311,XLB,31.41,1,31.15,31.66,31.15,3094800,
136,20050314,XLB,31.4,1,31.3,31.49,31.139,1257400,
137,20050315,XLB,31.25,1,31.6,31.6,31.24,1180300,
138,20050316,XLB,30.58,1,31,31.13,30.53,4914300,
139,20050317,XLB,30.94,1,30.65,31.03,30.57,2575800,
140,20050318,XLB,30.83,1,30.94,30.96,30.64,2400700,
141,20050321,XLB,30.65,1,31,31,30.54,1279400,
142,20050322,XLB,30.55,1,30.76,31.09,30.52,1386200,
143,20050323,XLB,30.25,1,30.53,30.61,30.22,2119500,
144,20050324,XLB,30.25,1,30.5,30.54,30.24,1675600,
145,20050328,XLB,30.08,1,30.4,30.4,30.08,1163500,
146,20050329,XLB,29.41,1,30.01,30.34,29.4,2257800,
147,20050330,XLB,29.91,1,29.51,29.91,29.51,2084000,
148,20050331,XLB,30.16,1,30.05,30.28,30,1523600,
149,20050401,XLB,30.07,1,30.01,30.52,29.96,1958400,
150,20050404,XLB,29.89,1,29.91,29.91,29.67,838200,
151,20050405,XLB,29.95,1,29.8,30.03,29.77,456200,
152,20050406,XLB,30.1,1,30.06,30.24,30.06,1024000,
153,20050407,XLB,30.43,1,30.23,30.44,30.17,1370500,
154,20050408,XLB,29.99,1,30.44,30.48,29.97,942000,
155,20050411,XLB,29.89,1,30.09,30.09,29.75,276700,
156,20050412,XLB,29.86,1,29.82,29.96,29.38,1485000,
157,20050413,XLB,29.03,1,29.85,29.85,28.94,2851000,
158,20050414,XLB,28.22,1,29,29.03,28.06,7866900,
159,20050415,XLB,27.52,1,27.97,28.24,27.47,3167400,
160,20050418,XLB,27.96,1,27.65,28.05,27.52,4350300,
161,20050419,XLB,28.3,1,28.46,28.91,28.05,1724200,
162,20050420,XLB,27.83,1,28.7,28.7,27.76,2399900,
163,20050421,XLB,28.35,1,28.13,28.37,27.82,2179300,
164,20050422,XLB,28.08,1,28.45,28.45,27.79,1492100,
165,20050425,XLB,28.36,1,28.1,28.43,28.1,956200,
166,20050426,XLB,27.82,1,28.19,28.38,27.81,1983100,
167,20050427,XLB,27.55,1,27.39,27.67,27.19,5989300,
168,20050428,XLB,27.33,1,27.7,27.8,27.24,5820100,
169,20050429,XLB,28.01,1,27.53,28.16,27.46,3796100,
170,20050502,XLB,28.24,1,28.02,28.29,28.01,2863400,
171,20050503,XLB,28.42,1,28.19,28.56,28.13,1730300,
172,20050504,XLB,28.86,1,28.55,28.86,28.42,1268700,
173,20050505,XLB,28.69,1,28.75,28.99,28.49,3103400,
174,20050506,XLB,28.76,1,28.71,28.96,28.68,1065400,
175,20050509,XLB,28.72,1,28.66,28.81,28.5,924400,
