,datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence
0,20090102,AXP,19.33,18.57,19.52,18.4,10955620,0.0,100.0,66.66666666666666,100.0,0.0
1,20090102,BA,45.25,42.8,45.56,42.78,7010171,0.0,100.0,66.66666666666633,100.0,0.0
2,20090105,AXP,19.95,19.2,20.24,19.0,16019130,0.013910256410259336,100.0,66.66666666666666,100.0,0.0
3,20090105,BA,46.17,45.5,46.81,44.8,6917353,0.020641025641026545,100.0,66.66666666666633,100.0,0.0
4,20090106,AXP,21.07,20.3,21.38,20.01,13819380,0.05245556065229806,100.0,99.9999999999998,100.0,0.0
5,20090106,BA,46.31,46.85,47.0,45.5,7180778,0.03064215526141112,100.0,66.4187035069074,100.0,0.0
6,20090107,AXP,20.01,20.53,20.72,19.83,15699820,0.030430271769017025,61.05836347160205,28.166160081053494,80.81581048709043,0.0
7,20090107,BA,44.76,45.1,45.61,44.17,6586169,-0.021522255993637884,39.096798980144236,-51.6942474389283,2.242629560153458,0.0
8,20090108,AXP,20.04,19.8,20.17,19.4,12255070,0.019015194461591278,61.49734227841212,-10.023584905660552,45.23970100558181,0.0
9,20090108,BA,44.79,44.5,44.9,43.88,5476776,-0.04822075010491744,39.830517045566104,-65.98407281001175,12.650727279225208,0.0
10,20090109,AXP,19.23,20.16,20.3,19.17,12592110,-0.0228403117778484,46.77104794135759,-49.335695305580124,30.552765042046374,0.0
11,20090109,BA,44.45,44.8,45.15,43.93,5644942,-0.07790237509544085,34.90096508865936,-59.27576601671363,2.585712100080708,0.0
12,20090112,AXP,18.83,19.01,19.43,18.55,12252580,-0.06740991331277257,41.67314423737776,-113.80636477261746,1.0948273391303593,0.0
13,20090112,BA,43.74,44.28,44.45,43.19,4988907,-0.12775984550520292,27.538349844805992,-110.44976204839503,24.05567013308785,0.0
14,20090113,AXP,18.99,18.64,19.3857,18.41,11864760,-0.08860176819783305,44.19028542790466,-92.76890196046458,4.12688730539492,0.0
15,20090113,BA,42.46,43.38,43.62,41.8,6359304,-0.2200131564298573,19.76296814973172,-169.0061565523309,47.35384757746447,0.0
16,20090114,AXP,17.83,18.43,18.67,17.7,17039810,-0.15948043796013422,33.38471031545154,-147.42340748066042,25.099891956435698,0.0
17,20090114,BA,41.2,41.88,41.98,40.87,7354895,-0.3430624319480273,15.349643068380843,-174.07079646017706,56.82657323058011,0.0
18,20090115,AXP,17.32,18.18,18.39,16.74,25799270,-0.23370937073903875,30.04347759825177,-154.95425847184615,43.09299713955738,0.0
19,20090115,BA,40.96,41.07,41.6,39.51,8464821,-0.4377213601963206,14.702687539403087,-149.61240310077545,66.30427065297027,0.0
20,20090116,AXP,17.01,17.87,17.98,16.33,20615030,-0.30058622069694607,28.264713036962974,-149.04291136896023,48.71732541666127,0.0
21,20090116,BA,42.46,41.45,43.05,41.04,9310704,-0.4200713640869651,32.96914007544805,-70.48398091342919,33.022635430008314,0.0
22,20090120,AXP,15.6,16.84,17.15,15.58,23328620,-0.42298021466904956,22.1063422717464,-166.26314329617415,57.023115970518326,0.0
23,20090120,BA,40.36,42.08,42.74,40.2,9590414,-0.5167713008971191,25.164423410628174,-100.21486892995271,40.40788284317289,0.0
24,20090121,AXP,16.87,16.35,16.98,15.74,23124020,-0.4363999338430702,35.25132455724059,-115.55103158830521,57.02311597051831,0.0
25,20090121,BA,42.27,40.75,42.4,40.0,6933013,-0.4737390054025923,38.79652803771721,-73.34111926780429,42.03462983910393,0.0
26,20090122,AXP,16.06,16.33,16.8,15.75,16471980,-0.4877213466911492,31.7195755682545,-113.42678363592992,57.02311597051831,0.0
27,20090122,BA,42.26,41.73,42.75,41.17,6590741,-0.43595543976122997,38.75828879477983,-50.00486618004846,35.13386631098132,0.0
28,20090123,AXP,16.0,15.2,16.31,14.72,24320170,-0.5237630362231585,31.477912767059166,-120.50164583880114,66.2049668313561,0.0
29,20090123,BA,41.98,40.91,42.84,40.91,5755506,-0.4185142274987257,37.68247494476289,-53.15247240089193,37.54349208263578,0.0
30,20090126,AXP,15.2,15.57,16.35,15.01,26480110,-0.5930478520591365,28.48458466762618,-113.26692659822184,64.74382985843306,0.0
31,20090126,BA,43.01,42.46,43.77,42.06,4659186,-0.3375505150504594,43.63603232904655,-10.0746119550386,20.43686716210096,0.0
32,20090127,AXP,16.68,16.09,16.83,15.56,28116270,-0.5469383705978927,39.495663738753876,-71.55451472527638,48.0484695349149,0.0
33,20090127,BA,43.22,43.29,43.96,42.88,5218829,-0.25861966762399646,44.74932477896406,7.6953837294858,17.25208873295011,0.0
34,20090128,AXP,17.85,17.8,18.1,17.31,20973560,-0.4311432886287925,46.26207668262898,-11.011476782400672,15.067377390404577,0.0
35,20090128,BA,43.24,43.47,44.4,42.76,8070961,-0.19373553024979628,44.856633480743774,12.788457229914542,10.04822348313455,0.0
36,20090129,AXP,16.71,17.26,17.85,16.63,17476490,-0.4100392268805493,41.57553881707987,-40.94945827829253,24.672120242238936,0.0
37,20090129,BA,40.71,42.76,42.76,40.37,8441360,-0.3038115004559998,35.76621100271383,-86.66684242671889,33.700147504592046,0.0
38,20090130,AXP,16.73,16.94,17.7,16.29,16426810,-0.38752159448670653,41.68275797306904,-46.613219516507215,28.965639195251487,0.0
39,20090130,BA,42.31,40.76,42.49,40.63,9098244,-0.28069111513279665,43.28546086915163,-58.8752899768018,33.700147504592046,0.0
40,20090202,AXP,16.98,16.35,17.12,16.07,14512990,-0.34893942633306807,43.03458828025684,-53.36472077948274,31.659906429627473,0.0
41,20090202,BA,40.8,41.73,41.73,40.11,8076632,-0.3593639854706723,38.84593329697357,-96.97034578738871,37.768335219053625,0.0
42,20090203,AXP,16.09,17.07,17.08,15.91,17112080,-0.37460884886611723,39.64974291861684,-67.93305843792356,33.617343542357006,0.0
43,20090203,BA,42.09,41.45,42.43,40.76,7221234,-0.3294630039142419,43.92839075303993,-53.499046491747386,26.590731144177887,0.0
44,20090204,AXP,16.36,16.19,17.07,16.17,14288010,-0.3717324020475239,41.10355174096288,-57.6273455088289,33.61734354235701,0.0
45,20090204,BA,41.97,42.12,42.97,41.69,6729177,-0.31052009999067565,43.579853688010864,-31.419135802469143,18.652296461353675,0.0
46,20090205,AXP,17.03,16.4,17.78,15.37,27254570,-0.31905026524279023,44.533542131341136,-46.9916272225781,42.95295555701555,0.0
47,20090205,BA,42.72,41.75,43.11,40.62,9021007,-0.2405822511487301,46.33290941182839,-33.7282229965158,28.190538744322417,0.0
48,20090206,AXP,17.93,17.35,18.27,17.12,18973440,-0.21177622518124295,48.68622465202044,4.761367593106601,30.899897156703798,0.0
49,20090206,BA,42.92,42.52,43.67,42.25,6334157,-0.16946611389676036,47.045719527558354,6.216730776702489,20.29914797817811,0.0
50,20090209,AXP,17.75,17.91,17.94,17.32,10952700,-0.13842593788026392,47.94357839658285,-0.5446375061488703,30.899897156703787,0.0
