,datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,boll,sma,ema,mstd,turbulence,systemic_risk
0,20090102,AXP,19.33,18.57,19.52,18.4,10955620,0.0,100.0,66.66666666666666,100.0,45.25,18.57,18.57,0.44547727214752425,0.0,0.0
1,20090102,BA,45.25,42.8,45.56,42.78,7010171,0.0,100.0,66.66666666666633,100.0,,42.8,42.8,1.9091883092036803,0.0,0.0
2,20090105,AXP,19.95,19.2,20.24,19.0,16019130,0.013910256410259336,100.0,66.66666666666666,100.0,45.71,18.884999999999998,19.042499999999997,0.44547727214752425,0.0,0.0
3,20090105,BA,46.17,45.5,46.81,44.8,6917353,0.020641025641026545,100.0,66.66666666666633,100.0,,44.15,44.824999999999996,1.9091883092036803,0.0,0.0
4,20090106,AXP,21.07,20.3,21.38,20.01,13819380,0.05245556065229806,100.0,99.9999999999998,100.0,45.910000000000004,19.749999999999996,19.913076923076922,0.7778174593052092,0.0,0.0
5,20090106,BA,46.31,46.85,47.0,45.5,7180778,0.03064215526141112,100.0,66.4187035069074,100.0,,46.175000000000004,46.22692307692307,0.9545941546018175,0.0,0.0
6,20090107,AXP,20.01,20.53,20.72,19.83,15699820,0.030430271769017025,61.05836347160205,28.166160081053494,80.81581048709043,45.6225,20.415,20.3295,0.16263455967292736,0.0,0.0
7,20090107,BA,44.76,45.1,45.61,44.17,6586169,-0.021522255993637884,39.096798980144236,-51.6942474389283,2.242629560153458,,45.97500000000001,45.466249999999995,1.23743686707644,0.0,0.0
8,20090108,AXP,20.04,19.8,20.17,19.4,12255070,0.019015194461591278,61.49734227841212,-10.023584905660552,45.23970100558181,45.456,20.165,19.975041322314052,0.5161879502661849,0.0,0.0
9,20090108,BA,44.79,44.5,44.9,43.88,5476776,-0.04822075010491744,39.830517045566104,-65.98407281001175,12.650727279225208,,44.80000000000001,44.81942148760331,0.4242640687118274,0.0,0.0
10,20090109,AXP,19.23,20.16,20.3,19.17,12592110,-0.0228403117778484,46.77104794135759,-49.335695305580124,30.552765042046374,45.288333333333334,19.979999999999997,20.098516483516484,0.2545584412271654,0.0,0.0
11,20090109,BA,44.45,44.8,45.15,43.93,5644942,-0.07790237509544085,34.90096508865936,-59.27576601671363,2.585712100080708,,44.65000000000002,44.80645604395604,0.2121320343557455,0.0,0.0
12,20090112,AXP,18.83,19.01,19.43,18.55,12252580,-0.06740991331277257,41.67314423737776,-113.80636477261746,1.0948273391303593,45.06714285714286,19.585,19.372506861848127,0.8131727983645262,0.0,0.0
13,20090112,BA,43.74,44.28,44.45,43.19,4988907,-0.12775984550520292,27.538349844805992,-110.44976204839503,24.05567013308785,,44.54000000000002,44.45532479414456,0.36769552621687257,0.0,0.0
14,20090113,AXP,18.99,18.64,19.3857,18.41,11864760,-0.08860176819783305,44.19028542790466,-92.76890196046458,4.12688730539492,44.74125,18.825000000000003,18.884094512195123,0.26162950903898974,0.0,0.0
15,20090113,BA,42.46,43.38,43.62,41.8,6359304,-0.2200131564298573,19.76296814973172,-169.0061565523309,47.35384757746447,,43.83000000000002,43.73833231707317,0.6363961030678131,0.0,0.0
16,20090114,AXP,17.83,18.43,18.67,17.7,17039810,-0.15948043796013422,33.38471031545154,-147.42340748066042,25.099891956435698,44.34777777777778,18.535000000000004,18.58134945635606,0.14849242404909216,0.0,0.0
17,20090114,BA,41.2,41.88,41.98,40.87,7354895,-0.3430624319480273,15.349643068380843,-174.07079646017706,56.82657323058011,,42.630000000000024,42.49938116045118,1.0606601717797701,0.0,0.0
18,20090115,AXP,17.32,18.18,18.39,16.74,25799270,-0.23370937073903875,30.04347759825177,-154.95425847184615,43.09299713955738,44.009,18.305000000000003,18.313778620783093,0.17677669529656218,0.0,0.0
19,20090115,BA,40.96,41.07,41.6,39.51,8464821,-0.4377213601963206,14.702687539403087,-149.61240310077545,66.30427065297027,,41.47500000000002,41.54644424874679,0.5727564927609816,0.0,0.0
20,20090116,AXP,17.01,17.87,17.98,16.33,20615030,-0.30058622069694607,28.264713036962974,-149.04291136896023,48.71732541666127,43.86818181818182,18.025000000000002,18.017924536822736,0.2192031021677618,0.0,0.0
21,20090116,BA,42.46,41.45,43.05,41.04,9310704,-0.4200713640869651,32.96914007544805,-70.48398091342919,33.022635430008314,,41.26000000000002,41.48214771995981,0.2687005768506068,0.0,0.0
22,20090120,AXP,15.6,16.84,17.15,15.58,23328620,-0.42298021466904956,22.1063422717464,-166.26314329617415,57.023115970518326,43.57583333333333,17.355,17.23264003462291,0.7283199846221229,0.0,0.0
23,20090120,BA,40.36,42.08,42.74,40.2,9590414,-0.5167713008971191,25.164423410628174,-100.21486892995271,40.40788284317289,,41.765000000000015,41.880716656631044,0.4454772721473872,0.0,0.0
24,20090121,AXP,16.87,16.35,16.98,15.74,23124020,-0.4363999338430702,35.25132455724059,-115.55103158830521,57.02311597051831,43.47538461538461,16.595,16.644212975797863,0.3464823227813418,0.0,0.0
25,20090121,BA,42.27,40.75,42.4,40.0,6933013,-0.4737390054025923,38.79652803771721,-73.34111926780429,42.03462983910393,,41.41500000000001,41.12690507940053,0.94045201897803,0.0,0.0
26,20090122,AXP,16.06,16.33,16.8,15.75,16471980,-0.4877213466911492,31.7195755682545,-113.42678363592992,57.02311597051831,43.388571428571424,16.339999999999996,16.434737614803193,0.014142135622098748,0.0,0.0
27,20090122,BA,42.26,41.73,42.75,41.17,6590741,-0.43595543976122997,38.75828879477983,-50.00486618004846,35.13386631098132,,41.240000000000016,41.528968443861636,0.6929646455627019,0.0,0.0
28,20090123,AXP,16.0,15.2,16.31,14.72,24320170,-0.5237630362231585,31.477912767059166,-120.50164583880114,66.2049668313561,43.294666666666664,15.764999999999997,15.61157914756707,0.7990306627407652,0.0,0.0
29,20090123,BA,41.98,40.91,42.84,40.91,5755506,-0.4185142274987257,37.68247494476289,-53.15247240089193,37.54349208263578,,41.320000000000014,41.11632278586256,0.5798275605728396,0.0,0.0
30,20090126,AXP,15.2,15.57,16.35,15.01,26480110,-0.5930478520591365,28.48458466762618,-113.26692659822184,64.74382985843306,43.276875,15.384999999999998,15.583859715211752,0.2616295090389076,0.0,0.0
31,20090126,BA,43.01,42.46,43.77,42.06,4659186,-0.3375505150504594,43.63603232904655,-10.0746119550386,20.43686716210096,,41.68500000000002,42.01210761609711,1.0960155108390974,0.0,0.0
32,20090127,AXP,16.68,16.09,16.83,15.56,28116270,-0.5469383705978927,39.495663738753876,-71.55451472527638,48.0484695349149,43.273529411764706,15.83,15.921286574350123,0.36769552621693075,0.0,0.0
33,20090127,BA,43.22,43.29,43.96,42.88,5218829,-0.25861966762399646,44.74932477896406,7.6953837294858,17.25208873295011,,42.875000000000014,42.8640358786293,0.5868986283847967,0.0,0.0
34,20090128,AXP,17.85,17.8,18.1,17.31,20973560,-0.4311432886287925,46.26207668262898,-11.011476782400672,15.067377390404577,43.27166666666667,16.945,17.173762194682897,1.2091525958289826,0.0,0.0
35,20090128,BA,43.24,43.47,44.4,42.76,8070961,-0.19373553024979628,44.856633480743774,12.788457229914542,10.04822348313455,,43.38000000000001,43.26801196058583,0.1272792206135083,0.0,0.0
36,20090129,AXP,16.71,17.26,17.85,16.63,17476490,-0.4100392268805493,41.57553881707987,-40.94945827829253,24.672120242238936,43.136842105263156,17.53,17.231254064943762,0.38183766184070067,0.0,0.0
37,20090129,BA,40.71,42.76,42.76,40.37,8441360,-0.3038115004559998,35.76621100271383,-86.66684242671889,33.700147504592046,,43.11500000000001,42.92933731990388,0.5020458146424128,0.0,0.0
38,20090130,AXP,16.73,16.94,17.7,16.29,16426810,-0.38752159448670653,41.68275797306904,-46.613219516507215,28.965639195251487,43.0955,17.1,17.037084688258904,0.2262741699796239,0.0,0.0
39,20090130,BA,42.31,40.76,42.49,40.63,9098244,-0.28069111513279665,43.28546086915163,-58.8752899768018,33.700147504592046,,41.760000000000005,41.48311243955319,1.4142135623730514,0.0,0.0
40,20090202,AXP,16.98,16.35,17.12,16.07,14512990,-0.34893942633306807,43.03458828025684,-53.36472077948274,31.659906429627473,42.873000000000005,16.645000000000003,16.579028229375847,0.41719300090002226,0.0,0.0
41,20090202,BA,40.8,41.73,41.73,40.11,8076632,-0.3593639854706723,38.84593329697357,-96.97034578738871,37.768335219053625,,41.245000000000005,41.647704146533464,0.6858935777508284,0.0,0.0
42,20090203,AXP,16.09,17.07,17.08,15.91,17112080,-0.37460884886611723,39.64974291861684,-67.93305843792356,33.617343542357006,42.669000000000004,16.71,16.906342743135717,0.5091168824542821,0.0,0.0
43,20090203,BA,42.09,41.45,42.43,40.76,7221234,-0.3294630039142419,43.92839075303993,-53.499046491747386,26.590731144177887,,41.59,41.515901382173624,0.19798989873189984,0.0,0.0
44,20090204,AXP,16.36,16.19,17.07,16.17,14288010,-0.3717324020475239,41.10355174096288,-57.6273455088289,33.61734354235701,42.45200000000001,16.63,16.4287809143735,0.6222539674441334,0.0,0.0
45,20090204,BA,41.97,42.12,42.97,41.69,6729177,-0.31052009999067565,43.579853688010864,-31.419135802469143,18.652296461353675,,41.78500000000001,41.918633794062146,0.4737615433948688,0.0,0.0
46,20090205,AXP,17.03,16.4,17.78,15.37,27254570,-0.31905026524279023,44.533542131341136,-46.9916272225781,42.95295555701555,42.35000000000001,16.294999999999998,16.40959363812443,0.14849242404903298,0.0,0.0
47,20090205,BA,42.72,41.75,43.11,40.62,9021007,-0.2405822511487301,46.33290941182839,-33.7282229965158,28.190538744322417,,41.93500000000001,41.80621126468698,0.26162950903884663,0.0,0.0
48,20090206,AXP,17.93,17.35,18.27,17.12,18973440,-0.21177622518124295,48.68622465202044,4.761367593106601,30.899897156703798,42.25650000000001,16.875,17.036531212708883,0.671751442127205,0.0,0.0
49,20090206,BA,42.92,42.52,43.67,42.25,6334157,-0.16946611389676036,47.045719527558354,6.216730776702489,20.29914797817811,,42.135000000000005,42.282070421562885,0.5444722215135783,0.0,0.0
50,20090209,AXP,17.75,17.91,17.94,17.32,10952700,-0.13842593788026392,47.94357839658285,-0.5446375061488703,30.899897156703787,42.17400000000001,17.63,17.618843737569858,0.39597979746446704,0.0,0.0
51,20090209,BA,42.8,42.8,43.42,42.44,5087800,-0.12054577374503594,46.661043821577906,3.0883136252257235,20.299147978178098,,42.660000000000004,42.627356807187766,0.19798989873219983,0.0,0.0
52,20090210,AXP,15.97,17.5,17.8,15.81,25782520,-0.20582829319802798,41.47211066965685,-59.7370858354994,46.719081418756126,41.99750000000001,17.705,17.539614579189944,0.28991378028649006,0.0,0.0
53,20090210,BA,40.21,41.29,42.23,40.02,9999165,-0.26460592341856426,39.45750305831777,-102.81178940003505,38.879016659464355,,42.045,41.73578560239581,1.0677312395916554,0.0,0.0
54,20090211,AXP,16.36,16.3,16.65,15.83,13389860,-0.22809810766549177,43.20957277567676,-70.54977853110083,46.71908141875612,41.891000000000005,16.9,16.713204859729945,0.8485281374238482,0.0,0.0
55,20090211,BA,40.33,40.51,40.76,39.86,6519292,-0.3652693115831127,39.902190586327556,-122.0262839692499,39.869714585694005,,40.9,40.91859520079856,0.5515432893253687,0.0,0.0
56,20090212,AXP,16.19,15.91,16.27,15.03,23438530,-0.2550758326809053,42.63879770007029,-90.97908316622893,53.20465611635223,41.824000000000005,16.104999999999997,16.177734953243306,0.27577164466270293,0.0,0.0
