,datadate,tic,adjcp,open,high,low,volume,turbulence
0,20090102,AXP,19.33,18.57,19.52,18.4,10955620,0.0
1,20090102,BA,45.25,42.8,45.56,42.78,7010171,0.0
2,20090105,AXP,19.95,19.2,20.24,19.0,16019130,0.0
3,20090105,BA,46.17,45.5,46.81,44.8,6917353,0.0
4,20090106,AXP,21.07,20.3,21.38,20.01,13819380,0.0
5,20090106,BA,46.31,46.85,47.0,45.5,7180778,0.0
6,20090107,AXP,20.01,20.53,20.72,19.83,15699820,0.0
7,20090107,BA,44.76,45.1,45.61,44.17,6586169,0.0
8,20090108,AXP,20.04,19.8,20.17,19.4,12255070,0.0
9,20090108,BA,44.79,44.5,44.9,43.88,5476776,0.0
10,20090109,AXP,19.23,20.16,20.3,19.17,12592110,0.0
11,20090109,BA,44.45,44.8,45.15,43.93,5644942,0.0
12,20090112,AXP,18.83,19.01,19.43,18.55,12252580,0.0
13,20090112,BA,43.74,44.28,44.45,43.19,4988907,0.0
14,20090113,AXP,18.99,18.64,19.3857,18.41,11864760,0.0
15,20090113,BA,42.46,43.38,43.62,41.8,6359304,0.0
16,20090114,AXP,17.83,18.43,18.67,17.7,17039810,0.0
17,20090114,BA,41.2,41.88,41.98,40.87,7354895,0.0
18,20090115,AXP,17.32,18.18,18.39,16.74,25799270,0.0
19,20090115,BA,40.96,41.07,41.6,39.51,8464821,0.0
20,20090116,AXP,17.01,17.87,17.98,16.33,20615030,0.0
21,20090116,BA,42.46,41.45,43.05,41.04,9310704,0.0
22,20090120,AXP,15.6,16.84,17.15,15.58,23328620,0.0
23,20090120,BA,40.36,42.08,42.74,40.2,9590414,0.0
24,20090121,AXP,16.87,16.35,16.98,15.74,23124020,0.0
25,20090121,BA,42.27,40.75,42.4,40.0,6933013,0.0
26,20090122,AXP,16.06,16.33,16.8,15.75,16471980,0.0
27,20090122,BA,42.26,41.73,42.75,41.17,6590741,0.0
28,20090123,AXP,16.0,15.2,16.31,14.72,24320170,0.0
29,20090123,BA,41.98,40.91,42.84,40.91,5755506,0.0
30,20090126,AXP,15.2,15.57,16.35,15.01,26480110,0.0
31,20090126,BA,43.01,42.46,43.77,42.06,4659186,0.0
32,20090127,AXP,16.68,16.09,16.83,15.56,28116270,0.0
33,20090127,BA,43.22,43.29,43.96,42.88,5218829,0.0
34,20090128,AXP,17.85,17.8,18.1,17.31,20973560,0.0
35,20090128,BA,43.24,43.47,44.4,42.76,8070961,0.0
36,20090129,AXP,16.71,17.26,17.85,16.63,17476490,0.0
37,20090129,BA,40.71,42.76,42.76,40.37,8441360,0.0
38,20090130,AXP,16.73,16.94,17.7,16.29,16426810,0.0
39,20090130,BA,42.31,40.76,42.49,40.63,9098244,0.0
40,20090202,AXP,16.98,16.35,17.12,16.07,14512990,0.0
41,20090202,BA,40.8,41.73,41.73,40.11,8076632,0.0
42,20090203,AXP,16.09,17.07,17.08,15.91,17112080,0.0
43,20090203,BA,42.09,41.45,42.43,40.76,7221234,0.0
44,20090204,AXP,16.36,16.19,17.07,16.17,14288010,0.0
45,20090204,BA,41.97,42.12,42.97,41.69,6729177,0.0
46,20090205,AXP,17.03,16.4,17.78,15.37,27254570,0.0
47,20090205,BA,42.72,41.75,43.11,40.62,9021007,0.0
48,20090206,AXP,17.93,17.35,18.27,17.12,18973440,0.0
49,20090206,BA,42.92,42.52,43.67,42.25,6334157,0.0
50,20090209,AXP,17.75,17.91,17.94,17.32,10952700,0.0
51,20090209,BA,42.8,42.8,43.42,42.44,5087800,0.0
52,20090210,AXP,15.97,17.5,17.8,15.81,25782520,0.0
53,20090210,BA,40.21,41.29,42.23,40.02,9999165,0.0
54,20090211,AXP,16.36,16.3,16.65,15.83,13389860,0.0
55,20090211,BA,40.33,40.51,40.76,39.86,6519292,0.0
56,20090212,AXP,16.19,15.91,16.27,15.03,23438530,0.0
57,20090212,BA,39.86,39.58,39.99,38.58,6028812,0.0
58,20090213,AXP,15.74,16.05,16.33,15.58,12738720,0.0
59,20090213,BA,40.48,39.89,41.19,39.89,5483456,0.0
60,20090217,AXP,13.96,14.93,15.4,13.95,29446140,0.0
61,20090217,BA,38.43,39.49,39.7436,38.3,6949373,0.0
62,20090218,AXP,14.1,14.11,14.24,13.4,26257540,0.0
63,20090218,BA,37.98,38.77,38.77,37.76,6324425,0.0
64,20090219,AXP,12.87,14.26,14.51,12.74,29658690,0.0
65,20090219,BA,37.57,38.24,38.7,37.42,5467193,0.0
66,20090220,AXP,12.97,12.59,13.2,12.17,32547420,0.0
67,20090220,BA,36.31,36.73,37.2,35.32,10598820,0.0
68,20090223,AXP,12.15,13.27,13.35,12.09,23529330,0.0
69,20090223,BA,34.46,36.73,36.79,34.35,9519248,0.0
70,20090224,AXP,13.62,12.3,13.77,11.44,40852330,0.0
71,20090224,BA,35.44,34.44,35.8326,33.8906,10815810,0.0
72,20090225,AXP,13.07,13.44,13.7,12.33,29808920,0.0
73,20090225,BA,33.91,35.27,35.27,33.22,11646920,0.0
74,20090226,AXP,12.57,13.62,13.9,12.37,26212220,0.0
75,20090226,BA,32.71,34.5,34.62,32.64,8771896,0.0
76,20090227,AXP,12.06,12.15,12.93,12.02,22407380,0.0
77,20090227,BA,31.44,32.3,32.37,31.4,11787420,0.0
78,20090302,AXP,11.06,11.68,12.08,11.0,25368750,0.0
79,20090302,BA,29.51,30.96,31.0,29.32,13956310,0.0
80,20090303,AXP,11.82,11.27,12.5,10.99,33779880,0.0
81,20090303,BA,29.36,29.7,30.11,29.05,10424190,0.0
82,20090304,AXP,11.71,12.13,12.23,11.0801,27086350,0.0
83,20090304,BA,30.31,29.86,30.78,29.11,11627390,0.0
84,20090305,AXP,10.33,11.27,11.47,10.14,31008230,0.0
85,20090305,BA,29.39,29.22,30.02,29.07,11661780,0.0
86,20090306,AXP,10.26,10.66,10.66,9.71,29226030,0.0
87,20090306,BA,30.1,29.61,30.2,29.39,13134930,0.0
88,20090309,AXP,10.64,9.99,11.2,9.86,28224510,0.0
89,20090309,BA,31.0,29.98,31.46,29.96,12407150,0.0
90,20090310,AXP,12.17,11.14,12.2,10.81,33387230,0.0
91,20090310,BA,33.01,31.42,33.02,31.32,11501520,0.0
92,20090311,AXP,11.93,11.58,12.15,11.18,30536280,0.0
93,20090311,BA,33.27,32.59,33.7,32.39,10823010,0.0
94,20090312,AXP,13.15,11.76,13.38,11.09,39562320,0.0
95,20090312,BA,33.63,33.01,33.75,32.39,6133118,0.0
96,20090313,AXP,13.09,13.14,13.39,11.93,39340310,0.0
97,20090313,BA,33.4,33.72,34.1,32.93,7433920,0.0
98,20090316,AXP,12.66,13.36,14.15,12.6,38411930,0.0
99,20090316,BA,33.83,33.74,34.96,33.38,7157179,0.0
100,20090317,AXP,12.92,12.37,12.92,12.09,28924020,0.0
101,20090317,BA,34.44,33.92,34.44,33.26,5270819,0.0
102,20090318,AXP,14.09,12.83,14.17,12.51,30380850,0.0
103,20090318,BA,33.75,34.29,34.75,32.5,15879890,0.0
104,20090319,AXP,13.07,14.31,14.5725,12.95,33333140,0.0
105,20090319,BA,33.19,33.86,34.12,32.97,10424540,0.0
106,20090320,AXP,12.26,13.19,13.19,12.12,31087670,0.0
107,20090320,BA,32.55,33.22,33.5,32.54,11322970,0.0
108,20090323,AXP,14.56,13.0,14.72,12.86,35353680,0.0
109,20090323,BA,35.5,33.2,35.5,33.05,8224165,0.0
110,20090324,AXP,13.9,13.82,14.8,13.34,24283320,0.0
111,20090324,BA,36.1,34.88,36.7199,34.82,8468264,0.0
112,20090325,AXP,14.11,13.55,14.37,13.23,25577950,0.0
113,20090325,BA,37.06,36.03,37.79,35.97,12446130,0.0
114,20090326,AXP,15.13,14.11,15.24,13.82,31915420,0.0
115,20090326,BA,38.66,37.32,38.68,36.91,9544545,0.0
116,20090327,AXP,14.45,14.51,14.72,14.14,22848060,0.0
117,20090327,BA,37.53,38.23,38.47,37.071,7328928,0.0
118,20090330,AXP,12.81,13.78,13.86,12.74,21746070,0.0
119,20090330,BA,35.52,36.63,36.98,35.11,10833150,0.0
120,20090331,AXP,13.63,13.17,13.84,13.0,21739200,0.0
121,20090331,BA,35.58,35.9,36.24,35.05,11532860,0.0
122,20090401,AXP,14.44,13.34,14.64,13.08,27699020,0.0
123,20090401,BA,35.44,34.52,35.6,34.21,9288760,0.0
124,20090402,AXP,14.98,15.26,15.3,14.59,27295870,0.0
125,20090402,BA,37.2,36.16,37.98,36.16,9449239,0.0
126,20090403,AXP,15.33,14.8,15.33,14.52,19195370,0.0
127,20090403,BA,37.69,37.23,38.12,36.39,8591254,0.0
128,20090406,AXP,15.16,15.08,15.27,14.65,16053890,0.0
129,20090406,BA,38.16,37.48,38.22,36.54,7390249,0.0
130,20090407,AXP,15.01,15.12,15.38,14.85,18526910,0.0
131,20090407,BA,36.64,37.51,37.69,36.51,6015876,0.0
132,20090408,AXP,15.72,15.14,16.08,15.03,22076890,0.0
133,20090408,BA,36.87,36.5,37.16,36.24,4477215,0.0
134,20090409,AXP,18.83,16.49,18.9,16.34,39530910,0.0
135,20090409,BA,39.15,37.68,39.18,37.68,9063903,0.0
136,20090413,AXP,20.46,19.18,20.73,19.01,46325750,0.0
137,20090413,BA,37.15,36.97,37.48,35.81,9530645,0.0
138,20090414,AXP,18.43,19.93,20.4684,18.27,40377030,0.0
139,20090414,BA,37.04,36.51,37.5,36.3,5845048,0.0
140,20090415,AXP,20.62,17.85,20.7,17.5,50526250,0.0
141,20090415,BA,37.57,36.63,38.04,36.61,5452170,0.0
142,20090416,AXP,20.69,20.38,21.01,19.66,33018110,0.0
143,20090416,BA,38.39,37.62,38.75,37.0,6423818,0.0
144,20090417,AXP,21.81,20.67,22.315,20.21,34421250,0.0
145,20090417,BA,38.32,38.55,38.78,38.18,6152158,0.0
146,20090420,AXP,18.98,20.75,20.75,18.8,40434200,0.0
147,20090420,BA,36.48,37.65,37.8575,36.36,7016920,0.0
148,20090421,AXP,19.57,18.03,19.62,17.795,43648070,0.0
149,20090421,BA,36.65,36.66,36.66,35.935,7351855,0.0
150,20090422,AXP,19.43,18.75,20.67,18.51,34931340,0.0
151,20090422,BA,37.3,37.85,38.32,36.54,11625940,0.0
152,20090423,AXP,20.97,19.93,21.3,19.35,36619270,0.0
153,20090423,BA,37.93,37.29,38.12,36.6,6400297,0.0
154,20090424,AXP,25.3,22.69,25.61,22.63,90291310,0.0
155,20090424,BA,38.72,38.1,39.01,37.75,8350952,0.0
156,20090427,AXP,24.23,24.24,25.11,23.85,39794070,0.0
157,20090427,BA,39.47,37.99,39.85,37.72,8546412,0.0
158,20090428,AXP,24.15,23.62,24.89,23.51,28363160,0.0
159,20090428,BA,38.85,39.11,39.42,38.32,6627144,0.0
160,20090429,AXP,24.95,24.37,25.47,24.29,25651550,0.0
161,20090429,BA,40.55,39.09,40.73,39.02,7775866,0.0
162,20090430,AXP,25.22,25.72,26.33,24.91,38266130,0.0
163,20090430,BA,40.05,41.07,41.74,39.9,7028035,0.0
164,20090501,AXP,24.29,24.94,25.4,23.58,28672240,0.0
165,20090501,BA,41.21,40.31,41.37,40.09,5501607,0.0
166,20090504,AXP,27.28,24.56,27.39,24.3506,37108580,0.0
167,20090504,BA,42.18,41.9,42.18,41.51,5269635,0.0
168,20090505,AXP,26.57,26.9,27.23,26.42,25484510,0.0
169,20090505,BA,43.15,41.92,43.25,41.92,7681469,0.0
170,20090506,AXP,27.14,27.27,28.45,26.18,48285000,0.0
171,20090506,BA,44.2,43.3,44.21,43.08,7930286,0.0
172,20090507,AXP,25.97,28.27,28.29,25.73,38917650,0.0
173,20090507,BA,43.53,44.47,44.62,42.75,7106644,0.0
174,20090508,AXP,28.4,26.16,28.43,25.75,36201170,0.0
175,20090508,BA,45.83,43.96,45.84,43.77,7491082,0.0
176,20090511,AXP,26.04,27.27,27.34,26.0,27917210,0.0
177,20090511,BA,44.72,45.26,45.6,44.53,9595553,0.0
